Date,Meal,Foods,Food code
11/29/2022,Breakfast,"Oatmeal, multigrain",56203610
11/30/2022,Breakfast,"Oatmeal, multigrain",56203610
12/1/2022,Breakfast,"Oatmeal, multigrain",56203610
12/2/2022,Breakfast,"Oatmeal, multigrain",56203610
12/3/2022,Breakfast,"Oatmeal, multigrain",56203610
12/4/2022,Breakfast,"Oatmeal, multigrain",56203610
12/5/2022,Breakfast,"Oatmeal, multigrain",56203610
12/6/2022,Breakfast,"Oatmeal, multigrain",56203610
12/7/2022,Breakfast,"Oatmeal, multigrain",56203610
12/8/2022,Breakfast,"Oatmeal, multigrain",56203610
12/9/2022,Breakfast,"Oatmeal, multigrain",56203610
12/10/2022,Breakfast,"Oatmeal, multigrain",56203610
12/11/2022,Breakfast,"Oatmeal, multigrain",56203610
12/12/2022,Breakfast,"Oatmeal, multigrain",56203610
12/13/2022,Breakfast,"Oatmeal, multigrain",56203610
12/14/2022,Breakfast,"Oatmeal, multigrain",56203610
12/15/2022,Breakfast,"Oatmeal, multigrain",56203610
12/16/2022,Breakfast,"Oatmeal, multigrain",56203610
12/17/2022,Breakfast,"Oatmeal, multigrain",56203610
12/18/2022,Breakfast,"Oatmeal, multigrain",56203610
12/19/2022,Breakfast,"Oatmeal, multigrain",56203610
12/20/2022,Breakfast,"Oatmeal, multigrain",56203610
12/21/2022,Breakfast,"Oatmeal, multigrain",56203610
12/22/2022,Breakfast,"Oatmeal, multigrain",56203610
12/23/2022,Breakfast,"Oatmeal, multigrain",56203610
12/24/2022,Breakfast,"Oatmeal, multigrain",56203610
12/25/2022,Breakfast,"Oatmeal, multigrain",56203610
12/26/2022,Breakfast,"Oatmeal, multigrain",56203610
12/27/2022,Breakfast,"Oatmeal, multigrain",56203610
12/28/2022,Breakfast,"Oatmeal, multigrain",56203610
12/29/2022,Breakfast,"Oatmeal, multigrain",56203610
12/30/2022,Breakfast,"Oatmeal, multigrain",56203610
12/31/2022,Breakfast,"Oatmeal, multigrain",56203610
11/29/2022,Lunch,"Pasta, cooked",56130000
11/30/2022,Lunch,"Pasta, cooked",56130000
12/1/2022,Lunch,"Pasta, cooked",56130000
12/2/2022,Lunch,"Pasta, cooked",56130000
12/3/2022,Lunch,"Pasta, cooked",56130000
12/4/2022,Lunch,"Pasta, cooked",56130000
12/5/2022,Lunch,"Pasta, cooked",56130000
12/6/2022,Lunch,"Pasta, cooked",56130000
12/7/2022,Lunch,"Pasta, cooked",56130000
12/8/2022,Lunch,"Pasta, cooked",56130000
12/9/2022,Lunch,"Pasta, cooked",56130000
12/10/2022,Lunch,"Pasta, cooked",56130000
12/11/2022,Lunch,"Pasta, cooked",56130000
12/12/2022,Lunch,"Pasta, cooked",56130000
12/13/2022,Lunch,"Pasta, cooked",56130000
12/14/2022,Lunch,"Pasta, cooked",56130000
12/15/2022,Lunch,"Pasta, cooked",56130000
12/16/2022,Lunch,"Pasta, cooked",56130000
12/17/2022,Lunch,"Pasta, cooked",56130000
12/18/2022,Lunch,"Pasta, cooked",56130000
12/19/2022,Lunch,"Pasta, cooked",56130000
12/20/2022,Lunch,"Pasta, cooked",56130000
12/21/2022,Lunch,"Pasta, cooked",56130000
12/22/2022,Lunch,"Pasta, cooked",56130000
12/23/2022,Lunch,"Pasta, cooked",56130000
12/24/2022,Lunch,"Pasta, cooked",56130000
12/25/2022,Lunch,"Pasta, cooked",56130000
12/26/2022,Lunch,"Pasta, cooked",56130000
12/27/2022,Lunch,"Pasta, cooked",56130000
12/28/2022,Lunch,"Pasta, cooked",56130000
12/29/2022,Lunch,"Pasta, cooked",56130000
12/30/2022,Lunch,"Pasta, cooked",56130000
12/31/2022,Lunch,"Pasta, cooked",56130000
11/29/2022,Dinner,"Chicken nuggets, from frozen",24198736
11/30/2022,Dinner,"Chicken nuggets, from frozen",24198736
